   i      x      y
----  -----  -----
   0  0.000  1.000
   1  0.000  1.000
   2  0.001  1.001
   3  0.001  1.001
   4  0.001  1.001
   5  0.002  1.002
   6  0.002  1.002
   7  0.002  1.002
   8  0.003  1.003
   9  0.003  1.003
  10  0.003  1.003
  11  0.003  1.003
  12  0.004  1.004
  13  0.004  1.004
  14  0.004  1.004
  15  0.005  1.005
  16  0.005  1.005
  17  0.005  1.005
  18  0.006  1.006
  19  0.006  1.006
  20  0.006  1.006
  21  0.007  1.007
  22  0.007  1.007
  23  0.007  1.007
  24  0.007  1.008
  25  0.008  1.008
  26  0.008  1.008
  27  0.008  1.008
  28  0.009  1.009
  29  0.009  1.009
  30  0.009  1.009
  31  0.010  1.010
  32  0.010  1.010
  33  0.010  1.010
  34  0.011  1.011
  35  0.011  1.011
  36  0.011  1.011
  37  0.012  1.012
  38  0.012  1.012
  39  0.012  1.012
  40  0.013  1.013
  41  0.013  1.013
  42  0.013  1.013
  43  0.013  1.014
  44  0.014  1.014
  45  0.014  1.014
  46  0.014  1.014
  47  0.015  1.015
  48  0.015  1.015
  49  0.015  1.015
  50  0.016  1.016
  51  0.016  1.016
  52  0.016  1.016
  53  0.017  1.017
  54  0.017  1.017
  55  0.017  1.017
  56  0.018  1.018
  57  0.018  1.018
  58  0.018  1.018
  59  0.018  1.019
  60  0.019  1.019
  61  0.019  1.019
  62  0.019  1.020
  63  0.020  1.020
  64  0.020  1.020
  65  0.020  1.021
  66  0.021  1.021
  67  0.021  1.021
  68  0.021  1.021
  69  0.022  1.022
  70  0.022  1.022
  71  0.022  1.022
  72  0.022  1.023
  73  0.023  1.023
  74  0.023  1.023
  75  0.023  1.024
  76  0.024  1.024
  77  0.024  1.024
  78  0.024  1.025
  79  0.025  1.025
  80  0.025  1.025
  81  0.025  1.026
  82  0.026  1.026
  83  0.026  1.026
  84  0.026  1.027
  85  0.027  1.027
  86  0.027  1.027
  87  0.027  1.028
  88  0.028  1.028
  89  0.028  1.028
  90  0.028  1.029
  91  0.028  1.029
  92  0.029  1.029
  93  0.029  1.029
  94  0.029  1.030
  95  0.030  1.030
  96  0.030  1.030
  97  0.030  1.031
  98  0.031  1.031
  99  0.031  1.031
 100  0.031  1.032
 101  0.032  1.032
 102  0.032  1.032
 103  0.032  1.033
 104  0.033  1.033
 105  0.033  1.033
 106  0.033  1.034
 107  0.033  1.034
 108  0.034  1.034
 109  0.034  1.035
 110  0.034  1.035
 111  0.035  1.035
 112  0.035  1.036
 113  0.035  1.036
 114  0.036  1.036
 115  0.036  1.037
 116  0.036  1.037
 117  0.037  1.037
