  i        x        y
---  -------  -------
  0  0.00000  1.00000
  1  0.00313  1.00313
  2  0.00625  1.00627
  3  0.00938  1.00942
  4  0.01250  1.01258
  5  0.01562  1.01575
  6  0.01875  1.01893
  7  0.02188  1.02212
  8  0.02500  1.02532
  9  0.02813  1.02852
 10  0.03125  1.03174
 11  0.03438  1.03497
 12  0.03750  1.03821
 13  0.04063  1.04146
 14  0.04375  1.04472
 15  0.04688  1.04799
 16  0.05000  1.05127
 17  0.05313  1.05456
 18  0.05625  1.05786
 19  0.05938  1.06117
 20  0.06250  1.06449
 21  0.06563  1.06783
 22  0.06875  1.07117
 23  0.07188  1.07452
 24  0.07500  1.07788
 25  0.07812  1.08126
 26  0.08125  1.08464
 27  0.08438  1.08804
 28  0.08750  1.09144
 29  0.09063  1.09486
 30  0.09375  1.09829
 31  0.09688  1.10172
 32  0.10000  1.10517
 33  0.10313  1.10863
 34  0.10625  1.11210
 35  0.10938  1.11558
 36  0.11250  1.11907
 37  0.11563  1.12258
 38  0.11875  1.12609
 39  0.12188  1.12961
 40  0.12500  1.13315
 41  0.12813  1.13670
 42  0.13125  1.14025
 43  0.13437  1.14382
 44  0.13750  1.14740
 45  0.14062  1.15099
 46  0.14375  1.15460
 47  0.14688  1.15821
 48  0.15000  1.16183
 49  0.15313  1.16547
 50  0.15625  1.16912
 51  0.15938  1.17278
 52  0.16250  1.17645
 53  0.16563  1.18013
 54  0.16875  1.18382
 55  0.17188  1.18753
 56  0.17500  1.19125
 57  0.17813  1.19497
 58  0.18125  1.19871
 59  0.18438  1.20247
 60  0.18750  1.20623
 61  0.19063  1.21001
 62  0.19375  1.21379
 63  0.19688  1.21759
 64  0.20000  1.22140
 65  0.20312  1.22523
 66  0.20625  1.22906
 67  0.20938  1.23291
 68  0.21250  1.23677
 69  0.21563  1.24064
 70  0.21875  1.24452
 71  0.22188  1.24842
 72  0.22500  1.25232
 73  0.22813  1.25624
 74  0.23125  1.26017
 75  0.23438  1.26412
 76  0.23750  1.26807
 77  0.24063  1.27204
 78  0.24375  1.27603
 79  0.24688  1.28002
 80  0.25000  1.28403
 81  0.25312  1.28804
 82  0.25625  1.29208
 83  0.25938  1.29612
 84  0.26250  1.30018
 85  0.26562  1.30425
 86  0.26875  1.30833
 87  0.27188  1.31242
 88  0.27500  1.31653
 89  0.27813  1.32065
 90  0.28125  1.32478
 91  0.28437  1.32893
 92  0.28750  1.33309
 93  0.29063  1.33726
 94  0.29375  1.34145
 95  0.29688  1.34565
 96  0.30000  1.34986
 97  0.30313  1.35408
 98  0.30625  1.35832
 99  0.30938  1.36257
100  0.31250  1.36684
101  0.31563  1.37112
102  0.31875  1.37541
103  0.32188  1.37971
104  0.32500  1.38403
105  0.32812  1.38836
106  0.33125  1.39271
107  0.33438  1.39707
108  0.33750  1.40144
109  0.34063  1.40583
110  0.34375  1.41023
111  0.34688  1.41464
112  0.35000  1.41907
113  0.35313  1.42351
114  0.35625  1.42796
115  0.35938  1.43243
116  0.36250  1.43692
117  0.36563  1.44141
118  0.36875  1.44593
119  0.37188  1.45045
120  0.37500  1.45499
121  0.37813  1.45954
122  0.38125  1.46411
123  0.38438  1.46870
124  0.38750  1.47329
125  0.39062  1.47790
126  0.39375  1.48253
127  0.39688  1.48717
128  0.40000  1.49182
129  0.40313  1.49649
130  0.40625  1.50118
131  0.40938  1.50588
132  0.41250  1.51059
133  0.41563  1.51532
134  0.41875  1.52006
135  0.42188  1.52482
136  0.42500  1.52959
137  0.42813  1.53438
138  0.43125  1.53918
139  0.43438  1.54400
140  0.43750  1.54883
141  0.44063  1.55368
142  0.44375  1.55854
143  0.44688  1.56342
144  0.45000  1.56831
145  0.45312  1.57322
146  0.45625  1.57814
147  0.45938  1.58308
148  0.46250  1.58804
149  0.46563  1.59301
150  0.46875  1.59799
151  0.47188  1.60300
152  0.47500  1.60801
153  0.47813  1.61305
154  0.48125  1.61809
155  0.48438  1.62316
156  0.48750  1.62824
157  0.49063  1.63334
158  0.49375  1.63845
159  0.49688  1.64358
160  0.50000  1.64872
161  0.50313  1.65388
162  0.50625  1.65906
163  0.50938  1.66425
164  0.51250  1.66946
165  0.51562  1.67468
166  0.51875  1.67993
167  0.52187  1.68518
168  0.52500  1.69046
169  0.52813  1.69575
170  0.53125  1.70106
171  0.53438  1.70638
172  0.53750  1.71172
173  0.54063  1.71708
174  0.54375  1.72245
175  0.54688  1.72784
176  0.55000  1.73325
177  0.55312  1.73868
178  0.55625  1.74412
179  0.55938  1.74958
180  0.56250  1.75505
181  0.56563  1.76055
182  0.56875  1.76606
183  0.57188  1.77158
184  0.57500  1.77713
185  0.57812  1.78269
186  0.58125  1.78827
187  0.58437  1.79387
188  0.58750  1.79948
189  0.59063  1.80511
190  0.59375  1.81076
191  0.59688  1.81643
192  0.60000  1.82212
193  0.60313  1.82782
194  0.60625  1.83354
195  0.60938  1.83928
196  0.61250  1.84504
197  0.61563  1.85081
198  0.61875  1.85660
199  0.62188  1.86242
200  0.62500  1.86824
201  0.62813  1.87409
202  0.63125  1.87996
203  0.63438  1.88584
204  0.63750  1.89174
205  0.64062  1.89766
206  0.64375  1.90360
207  0.64688  1.90956
208  0.65000  1.91554
209  0.65313  1.92153
210  0.65625  1.92755
211  0.65938  1.93358
212  0.66250  1.93963
213  0.66563  1.94570
214  0.66875  1.95179
215  0.67188  1.95790
216  0.67500  1.96403
217  0.67813  1.97018
218  0.68125  1.97634
219  0.68438  1.98253
220  0.68750  1.98874
221  0.69063  1.99496
222  0.69375  2.00120
223  0.69688  2.00747
224  0.70000  2.01375
225  0.70312  2.02005
226  0.70625  2.02638
227  0.70938  2.03272
228  0.71250  2.03908
229  0.71563  2.04546
230  0.71875  2.05186
231  0.72188  2.05829
232  0.72500  2.06473
233  0.72813  2.07119
234  0.73125  2.07767
235  0.73438  2.08418
236  0.73750  2.09070
237  0.74063  2.09724
238  0.74375  2.10381
239  0.74688  2.11039
240  0.75000  2.11700
241  0.75313  2.12362
242  0.75625  2.13027
243  0.75938  2.13694
244  0.76250  2.14363
245  0.76562  2.15034
246  0.76875  2.15707
247  0.77188  2.16382
248  0.77500  2.17059
249  0.77813  2.17738
250  0.78125  2.18420
251  0.78438  2.19103
252  0.78750  2.19789
253  0.79063  2.20477
254  0.79375  2.21167
255  0.79688  2.21859
256  0.80000  2.22554
257  0.80313  2.23250
258  0.80625  2.23949
259  0.80938  2.24650
260  0.81250  2.25353
261  0.81563  2.26059
262  0.81875  2.26766
263  0.82188  2.27476
264  0.82500  2.28188
265  0.82812  2.28902
266  0.83125  2.29618
267  0.83438  2.30337
268  0.83750  2.31058
269  0.84063  2.31781
270  0.84375  2.32507
271  0.84688  2.33234
272  0.85000  2.33964
273  0.85313  2.34697
274  0.85625  2.35431
275  0.85938  2.36168
276  0.86250  2.36907
277  0.86563  2.37649
278  0.86875  2.38393
279  0.87188  2.39139
280  0.87500  2.39887
281  0.87813  2.40638
282  0.88125  2.41391
283  0.88438  2.42147
284  0.88750  2.42905
285  0.89062  2.43665
286  0.89375  2.44428
287  0.89688  2.45193
288  0.90000  2.45960
289  0.90313  2.46730
290  0.90625  2.47502
291  0.90938  2.48277
292  0.91250  2.49054
293  0.91563  2.49833
294  0.91875  2.50615
295  0.92188  2.51400
296  0.92500  2.52186
297  0.92813  2.52976
298  0.93125  2.53768
299  0.93438  2.54562
300  0.93750  2.55359
301  0.94063  2.56158
302  0.94375  2.56960
303  0.94688  2.57764
304  0.95000  2.58571
305  0.95312  2.59380
306  0.95625  2.60192
307  0.95938  2.61006
308  0.96250  2.61823
309  0.96563  2.62643
310  0.96875  2.63465
311  0.97188  2.64289
312  0.97500  2.65116
313  0.97813  2.65946
314  0.98125  2.66779
315  0.98438  2.67614
316  0.98750  2.68451
317  0.99063  2.69291
318  0.99375  2.70134
319  0.99688  2.70980
320  1.00000  2.71828
