  i      x      y
---  -----  -----
  0  1.000  0.000
  1  1.001  0.001
  2  1.002  0.002
  3  1.004  0.004
  4  1.005  0.005
  5  1.006  0.006
  6  1.008  0.007
  7  1.009  0.009
  8  1.010  0.010
  9  1.011  0.011
 10  1.012  0.012
 11  1.014  0.014
 12  1.015  0.015
 13  1.016  0.016
 14  1.018  0.017
 15  1.019  0.019
 16  1.020  0.020
 17  1.021  0.021
 18  1.022  0.022
 19  1.024  0.023
 20  1.025  0.025
 21  1.026  0.026
 22  1.028  0.027
 23  1.029  0.028
 24  1.030  0.030
 25  1.031  0.031
 26  1.032  0.032
 27  1.034  0.033
 28  1.035  0.034
 29  1.036  0.036
 30  1.038  0.037
 31  1.039  0.038
 32  1.040  0.039
 33  1.041  0.040
 34  1.042  0.042
 35  1.044  0.043
 36  1.045  0.044
 37  1.046  0.045
 38  1.048  0.046
 39  1.049  0.048
 40  1.050  0.049
 41  1.051  0.050
 42  1.052  0.051
 43  1.054  0.052
 44  1.055  0.054
 45  1.056  0.055
 46  1.058  0.056
 47  1.059  0.057
 48  1.060  0.058
 49  1.061  0.059
 50  1.062  0.061
 51  1.064  0.062
 52  1.065  0.063
 53  1.066  0.064
 54  1.067  0.065
 55  1.069  0.067
 56  1.070  0.068
 57  1.071  0.069
 58  1.073  0.070
 59  1.074  0.071
 60  1.075  0.072
 61  1.076  0.074
 62  1.077  0.075
 63  1.079  0.076
 64  1.080  0.077
 65  1.081  0.078
 66  1.083  0.079
 67  1.084  0.080
 68  1.085  0.082
 69  1.086  0.083
 70  1.087  0.084
 71  1.089  0.085
 72  1.090  0.086
 73  1.091  0.087
 74  1.093  0.089
 75  1.094  0.090
 76  1.095  0.091
 77  1.096  0.092
 78  1.097  0.093
 79  1.099  0.094
 80  1.100  0.095
 81  1.101  0.097
 82  1.103  0.098
 83  1.104  0.099
 84  1.105  0.100
 85  1.106  0.101
 86  1.107  0.102
 87  1.109  0.103
 88  1.110  0.104
 89  1.111  0.106
 90  1.113  0.107
 91  1.114  0.108
 92  1.115  0.109
 93  1.116  0.110
 94  1.117  0.111
 95  1.119  0.112
 96  1.120  0.113
 97  1.121  0.115
 98  1.123  0.116
 99  1.124  0.117
