   i      x      y
----  -----  -----
   0  0.000  0.000
   1  0.001  0.003
   2  0.001  0.005
   3  0.002  0.007
   4  0.003  0.010
   5  0.003  0.012
   6  0.004  0.015
   7  0.004  0.017
   8  0.005  0.020
   9  0.006  0.022
  10  0.006  0.025
  11  0.007  0.027
  12  0.007  0.030
  13  0.008  0.032
  14  0.009  0.035
  15  0.009  0.037
  16  0.010  0.040
  17  0.011  0.042
  18  0.011  0.045
  19  0.012  0.047
  20  0.013  0.050
  21  0.013  0.052
  22  0.014  0.055
  23  0.014  0.057
  24  0.015  0.060
  25  0.016  0.062
  26  0.016  0.065
  27  0.017  0.067
  28  0.018  0.070
  29  0.018  0.072
  30  0.019  0.075
  31  0.019  0.077
  32  0.020  0.080
  33  0.021  0.082
  34  0.021  0.085
  35  0.022  0.087
  36  0.022  0.090
  37  0.023  0.092
  38  0.024  0.095
  39  0.024  0.097
  40  0.025  0.100
  41  0.026  0.102
  42  0.026  0.105
  43  0.027  0.107
  44  0.028  0.110
  45  0.028  0.112
  46  0.029  0.115
  47  0.029  0.117
  48  0.030  0.120
  49  0.031  0.122
  50  0.031  0.125
  51  0.032  0.127
  52  0.033  0.130
  53  0.033  0.132
  54  0.034  0.135
  55  0.034  0.137
  56  0.035  0.140
  57  0.036  0.142
  58  0.036  0.145
  59  0.037  0.147
  60  0.037  0.150
  61  0.038  0.152
  62  0.039  0.155
  63  0.039  0.157
  64  0.040  0.160
  65  0.041  0.162
  66  0.041  0.165
  67  0.042  0.167
  68  0.043  0.170
  69  0.043  0.172
  70  0.044  0.175
  71  0.044  0.177
  72  0.045  0.180
  73  0.046  0.182
  74  0.046  0.185
  75  0.047  0.187
  76  0.048  0.190
  77  0.048  0.192
  78  0.049  0.195
  79  0.049  0.197
  80  0.050  0.200
  81  0.051  0.202
  82  0.051  0.205
  83  0.052  0.207
  84  0.052  0.210
  85  0.053  0.212
  86  0.054  0.215
  87  0.054  0.217
  88  0.055  0.220
  89  0.056  0.222
  90  0.056  0.225
  91  0.057  0.227
  92  0.058  0.230
  93  0.058  0.232
  94  0.059  0.235
  95  0.059  0.237
  96  0.060  0.240
  97  0.061  0.242
  98  0.061  0.245
  99  0.062  0.247
 100  0.062  0.250
 101  0.063  0.252
 102  0.064  0.255
 103  0.064  0.257
 104  0.065  0.260
 105  0.066  0.262
 106  0.066  0.265
 107  0.067  0.267
 108  0.068  0.270
 109  0.068  0.272
 110  0.069  0.275
 111  0.069  0.277
 112  0.070  0.280
 113  0.071  0.282
 114  0.071  0.285
 115  0.072  0.287
 116  0.072  0.290
 117  0.073  0.292
 118  0.074  0.294
 119  0.074  0.297
 120  0.075  0.299
 121  0.076  0.302
 122  0.076  0.304
 123  0.077  0.307
 124  0.077  0.309
 125  0.078  0.312
 126  0.079  0.314
 127  0.079  0.317
 128  0.080  0.319
 129  0.081  0.322
 130  0.081  0.324
 131  0.082  0.327
 132  0.083  0.329
 133  0.083  0.332
 134  0.084  0.334
 135  0.084  0.337
 136  0.085  0.339
 137  0.086  0.342
 138  0.086  0.344
 139  0.087  0.347
 140  0.088  0.349
 141  0.088  0.352
 142  0.089  0.354
 143  0.089  0.357
 144  0.090  0.359
 145  0.091  0.362
 146  0.091  0.364
 147  0.092  0.366
 148  0.092  0.369
 149  0.093  0.371
 150  0.094  0.374
 151  0.094  0.376
 152  0.095  0.379
 153  0.096  0.381
 154  0.096  0.384
 155  0.097  0.386
 156  0.098  0.389
 157  0.098  0.391
 158  0.099  0.394
 159  0.099  0.396
 160  0.100  0.399
 161  0.101  0.401
 162  0.101  0.404
 163  0.102  0.406
 164  0.103  0.409
 165  0.103  0.411
 166  0.104  0.414
 167  0.104  0.416
 168  0.105  0.418
 169  0.106  0.421
 170  0.106  0.423
 171  0.107  0.426
 172  0.107  0.428
 173  0.108  0.431
 174  0.109  0.433
 175  0.109  0.436
 176  0.110  0.438
 177  0.111  0.441
 178  0.111  0.443
 179  0.112  0.446
 180  0.113  0.448
 181  0.113  0.451
 182  0.114  0.453
 183  0.114  0.456
 184  0.115  0.458
 185  0.116  0.460
 186  0.116  0.463
 187  0.117  0.465
 188  0.118  0.468
 189  0.118  0.470
 190  0.119  0.473
 191  0.119  0.475
 192  0.120  0.478
 193  0.121  0.480
 194  0.121  0.483
 195  0.122  0.485
 196  0.122  0.488
 197  0.123  0.490
 198  0.124  0.493
 199  0.124  0.495
 200  0.125  0.497
 201  0.126  0.500
 202  0.126  0.502
