  i        x        y
---  -------  -------
  0  0.00000  0.00000
  1  0.00625  0.02500
  2  0.01250  0.05000
  3  0.01875  0.07499
  4  0.02500  0.09998
  5  0.03125  0.12496
  6  0.03750  0.14993
  7  0.04375  0.17489
  8  0.05000  0.19983
  9  0.05625  0.22476
 10  0.06250  0.24967
 11  0.06875  0.27457
 12  0.07500  0.29944
 13  0.08125  0.32429
 14  0.08750  0.34911
 15  0.09375  0.37390
 16  0.10000  0.39867
 17  0.10625  0.42341
 18  0.11250  0.44811
 19  0.11875  0.47278
 20  0.12500  0.49742
 21  0.13125  0.52201
 22  0.13750  0.54657
 23  0.14375  0.57108
 24  0.15000  0.59556
 25  0.15625  0.61998
 26  0.16250  0.64436
 27  0.16875  0.66870
 28  0.17500  0.69298
 29  0.18125  0.71721
 30  0.18750  0.74139
 31  0.19375  0.76551
 32  0.20000  0.78958
 33  0.20625  0.81359
 34  0.21250  0.83754
 35  0.21875  0.86143
 36  0.22500  0.88525
 37  0.23125  0.90902
 38  0.23750  0.93271
 39  0.24375  0.95635
 40  0.25000  0.97991
 41  0.25625  1.00340
 42  0.26250  1.02683
 43  0.26875  1.05018
 44  0.27500  1.07346
 45  0.28125  1.09666
 46  0.28750  1.11979
 47  0.29375  1.14285
 48  0.30000  1.16582
 49  0.30625  1.18872
 50  0.31250  1.21153
 51  0.31875  1.23427
 52  0.32500  1.25692
 53  0.33125  1.27949
 54  0.33750  1.30198
 55  0.34375  1.32438
 56  0.35000  1.34669
 57  0.35625  1.36892
 58  0.36250  1.39106
 59  0.36875  1.41311
 60  0.37500  1.43508
 61  0.38125  1.45695
 62  0.38750  1.47873
 63  0.39375  1.50042
 64  0.40000  1.52202
 65  0.40625  1.54352
 66  0.41250  1.56493
 67  0.41875  1.58625
 68  0.42500  1.60747
 69  0.43125  1.62860
 70  0.43750  1.64963
 71  0.44375  1.67057
 72  0.45000  1.69141
 73  0.45625  1.71215
 74  0.46250  1.73279
 75  0.46875  1.75334
 76  0.47500  1.77379
 77  0.48125  1.79413
 78  0.48750  1.81438
 79  0.49375  1.83453
 80  0.50000  1.85458
 81  0.50625  1.87453
 82  0.51250  1.89438
 83  0.51875  1.91413
 84  0.52500  1.93378
 85  0.53125  1.95333
 86  0.53750  1.97277
 87  0.54375  1.99212
 88  0.55000  2.01136
 89  0.55625  2.03051
 90  0.56250  2.04955
 91  0.56875  2.06849
 92  0.57500  2.08733
 93  0.58125  2.10607
 94  0.58750  2.12470
 95  0.59375  2.14324
 96  0.60000  2.16167
 97  0.60625  2.18000
 98  0.61250  2.19823
 99  0.61875  2.21636
100  0.62500  2.23439
101  0.63125  2.25232
102  0.63750  2.27014
103  0.64375  2.28787
104  0.65000  2.30549
105  0.65625  2.32302
106  0.66250  2.34044
107  0.66875  2.35777
108  0.67500  2.37499
109  0.68125  2.39212
110  0.68750  2.40914
111  0.69375  2.42607
112  0.70000  2.44290
113  0.70625  2.45962
114  0.71250  2.47626
115  0.71875  2.49279
116  0.72500  2.50922
117  0.73125  2.52556
118  0.73750  2.54180
119  0.74375  2.55795
120  0.75000  2.57400
121  0.75625  2.58995
122  0.76250  2.60580
123  0.76875  2.62157
124  0.77500  2.63723
125  0.78125  2.65280
126  0.78750  2.66828
127  0.79375  2.68367
128  0.80000  2.69896
129  0.80625  2.71415
130  0.81250  2.72926
131  0.81875  2.74427
132  0.82500  2.75919
133  0.83125  2.77402
134  0.83750  2.78876
135  0.84375  2.80341
136  0.85000  2.81797
137  0.85625  2.83244
138  0.86250  2.84682
139  0.86875  2.86111
140  0.87500  2.87531
141  0.88125  2.88943
142  0.88750  2.90346
143  0.89375  2.91740
144  0.90000  2.93125
145  0.90625  2.94502
146  0.91250  2.95871
147  0.91875  2.97231
148  0.92500  2.98582
149  0.93125  2.99925
150  0.93750  3.01260
151  0.94375  3.02586
152  0.95000  3.03904
153  0.95625  3.05214
154  0.96250  3.06516
155  0.96875  3.07810
156  0.97500  3.09096
157  0.98125  3.10373
158  0.98750  3.11643
159  0.99375  3.12905
160  1.00000  3.14159

Time taken: 0.0007570000000000077 seconds
