  i            x            y
---  -----------  -----------
  0  0.000000000  0.000000000
  1  0.050000000  0.199833593
  2  0.100000000  0.398674630
  3  0.150000000  0.595559818
  4  0.200000000  0.789582274
  5  0.250000000  0.979914691
  6  0.300000000  1.165827218
  7  0.350000000  1.346699318
  8  0.400000000  1.522025547
  9  0.450000000  1.691415740
 10  0.500000000  1.854590468
 11  0.550000000  2.011372871
 12  0.600000000  2.161678024
 13  0.650000000  2.305500901
 14  0.700000000  2.442903873
 15  0.750000000  2.574004447
 16  0.800000000  2.698963777
 17  0.850000000  2.817976263
 18  0.900000000  2.931260410
 19  0.950000000  3.039051021
 20  1.000000000  3.141592654

Time taken: 0.0004709999999999992 seconds
